Customer ID,network_age,Customer tenure in month,Total Spend in Months 1 and 2 of 2017,Total SMS Spend,Total Data Spend,Total Data Consumption,Total Unique Calls,Total Onnet spend ,Total Offnet spend,Total Call centre complaint calls,Network type subscription in Month 1,Network type subscription in Month 2,Most Loved Competitor network in in Month 1,Most Loved Competitor network in in Month 2,Churn Status
ADF0001,1012,33.73333333,1560.1156,14.04,226.3,3126093.298,64,14503,12402,1,1,1,Weematel,Mango,0.0
ADF0002,137,4.566666667,1705.8368,73.63,5.0,162.8809,515,29832,88953,9,1,1,ToCall,Mango,0.0
ADF0003,202,6.733333332999999,1720.3008,4.36,245.0,3334606.97,163,228,1495,1,1,1,ToCall,Mango,0.0
ADF0004,165,5.5,1732.28,0.0,12.5,668292.3877,484,0,71928,2,1,1,Uxaa,Mango,1.0
ADF0005,759,25.3,1873.06,69.57,412.5,6666974.778,64,7616,20753,2,1,1,Mango,Mango,0.0
ADF0006,129,4.3,1877.26,46.11,343.75,3387698.2260000003,121,0,20944,1,1,1,PQza,Mango,0.0
ADF0007,148,4.933333333,2388.8208,17.99,1.25,129167.6787,830,0,93461,1,3,1,0,Mango,1.0
ADF0008,1144,38.13333333,2702.35,47.84,48.75,3390.0625,431,60102,131525,1,1,1,Mango,Mango,1.0
ADF0009,137,4.566666667,2782.5572,179.52,315.0,3632010.692,622,0,40724,2,1,1,Weematel,Mango,0.0
ADF0010,1456,48.53333333,2934.7028,200.37,108.75,40638.8886,892,16572,150693,1,2,2,PQza,Mango,0.0
ADF0011,462,15.4,3099.46,0.0,178.87,2271782.651,833,2327,37510,12,2,2,PQza,Mango,0.0
ADF0012,1615,53.83333333,263.77,32.65,21.25,900.1602,38,2352,9658,1,1,1,Mango,Mango,1.0
ADF0013,1422,47.4,292.442,45.16,0.0,130874.5967,24,0,8627,1,1,1,Mango,Mango,1.0
ADF0014,1987,66.23333333,362.81,18.95,0.0,4635.3145,43,2773,14879,1,1,1,Mango,Mango,1.0
ADF0015,2128,70.93333333,364.0,43.38,71.25,2743.7519,33,3880,12629,1,1,0,PQza,Mango,0.0
ADF0016,479,15.96666667,390.73,36.4,0.0,16974.7803,18,0,13934,1,0,0,Mango,Mango,1.0
ADF0017,348,11.6,404.60400000000004,54.81,17.5,198986.25100000002,44,2292,5135,1,1,1,Mango,Mango,1.0
ADF0018,1884,62.8,438.49,38.3,20.0,3461.6777,57,6657,13780,1,1,1,Zintel,Mango,0.0
ADF0019,642,21.4,453.05400000000003,42.95,11.25,59029.0938,65,5826,12797,1,0,0,PQza,Mango,0.0
ADF0020,150,5.0,454.63800000000003,1.75,83.75,842766.9658,6,0,1005,1,1,1,Mango,Mango,0.0
ADF0021,206,6.8666666670000005,455.07,0.0,137.5,64054568.84,12,0,2277,1,1,1,Weematel,Mango,0.0
ADF0022,174,5.8,457.6752,96.93,12.5,191.5703,114,708,22437,1,1,1,Uxaa,Mango,1.0
ADF0023,2783,92.76666667,459.8972,116.76,26.25,4065074.857,43,558,12040,3,1,1,Uxaa,Mango,1.0
ADF0024,2018,67.26666667,468.9204,7.17,3.75,7.4394,108,1854,29087,1,1,1,Mango,Mango,0.0
ADF0025,936,31.2,493.126,32.29,26.25,6733.9004,52,12,20042,1,0,0,Mango,Mango,0.0
ADF0026,2150,71.66666667,501.036,34.87,0.0,2568.8027,68,2862,18731,1,2,2,Uxaa,Mango,0.0
ADF0027,1006,33.53333333,502.356,16.09,7.5,274.9902,131,750,30688,1,1,1,ToCall,Mango,0.0
ADF0028,105,3.5,508.5808,7.73,16.25,35765.9854,67,120,17324,1,3,1,ToCall,Mango,0.0
ADF0029,233,7.766666667000001,509.2452,36.21,15.0,674.5069,145,4392,31497,1,2,2,ToCall,Mango,0.0
ADF0030,1251,41.7,514.884,45.88,3.75,6.0098,174,708,38807,1,0,0,Zintel,Mango,1.0
ADF0031,114,3.8,532.026,1.75,46.25,4378.7695,131,11100,30285,1,1,1,ToCall,Mango,0.0
ADF0032,3325,110.83333329999999,532.53,15.92,12.5,446.7168,54,2385,22504,1,1,1,PQza,Mango,0.0
ADF0033,1506,50.2,561.7784,14.34,2.5,1.8096,133,3468,41004,1,0,0,Mango,Mango,0.0
ADF0034,1333,44.43333333,563.508,7.17,88.75,1071114.4209999999,46,0,358,2,3,3,Uxaa,Mango,0.0
ADF0035,3188,106.26666670000002,580.604,77.05,3.75,45.5146,108,3523,28880,1,2,2,Uxaa,Mango,1.0
ADF0036,2169,72.3,588.8,10.76,61.25,1066516.375,81,980,537,1,3,3,Uxaa,Mango,1.0
ADF0037,2357,78.56666667,601.7,115.96,107.5,26682.8545,21,0,5171,1,1,1,Zintel,Mango,1.0
ADF0139,1366,45.53333333,1313.81,21.4,6.25,17225.3789,253,3060,72309,1,2,2,ToCall,PQza,0.0
ADF0140,406,13.53333333,1343.254,45.41,72.5,54648012.48,22,0,3568,1,1,3,PQza,PQza,1.0
ADF0141,1569,52.3,1431.2,20.12,0.0,27022.0039,176,22714,61526,2,1,1,ToCall,PQza,0.0
ADF0142,2582,86.06666667,1509.2584,36.02,500.0,2090914.2130000002,69,2334,12636,2,1,0,Mango,PQza,0.0
ADF0143,4151,138.3666667,1545.0036,6.13,50.0,266792.7255,757,1494,50692,2,1,1,Zintel,PQza,1.0
ADF0144,2009,66.96666667,1612.4152,33.25,356.25,3120661.275,27,3131,12498,1,1,1,Mango,PQza,1.0
ADF0145,1429,47.63333333,1665.54,0.12,105.0,10967190.07,702,24,358,2,1,1,ToCall,PQza,1.0
ADF0146,3610,120.33333329999999,1786.06,1.75,65.0,24044071.8,6,36,537,1,1,1,PQza,PQza,1.0
ADF0147,228,7.6,1929.63,93.48,281.25,3338216.653,418,0,16489,4,1,1,ToCall,PQza,0.0
ADF0148,419,13.96666667,1960.306,8.75,435.0,68063420.29,84,5235,20364,1,1,3,Mango,PQza,1.0
ADF0149,2028,67.6,227.582,45.88,6.25,24.4424,21,2916,5042,1,0,0,PQza,PQza,1.0
ADF0150,1404,46.8,238.97,29.45,2.5,24.0059,17,1757,3800,1,0,0,PQza,PQza,0.0
ADF0151,1382,46.06666667,239.976,53.54,1.25,37671.6074,24,954,6106,1,0,0,ToCall,PQza,0.0
ADF0152,1209,40.3,242.12,40.56,30.0,278404.7305,7,36,472,1,1,3,PQza,PQza,1.0
ADF0153,2820,94.0,242.17,80.66,26.25,858.5508,20,2862,4493,1,1,1,PQza,PQza,1.0
ADF0154,2420,80.66666667,243.93,26.08,13.75,184331.4824,29,3705,6082,1,1,1,Weematel,PQza,1.0
ADF0155,198,6.6,244.71,73.2,2.5,38.9355,52,0,8628,1,3,3,ToCall,PQza,0.0
ADF0156,106,3.5333333330000003,245.25599999999997,107.35,12.5,115584.9189,11,0,1949,2,3,1,PQza,PQza,0.0
ADF0157,2099,69.96666667,248.018,2.63,160.0,15887661.71,10,444,1434,2,1,1,Mango,PQza,0.0
ADF0158,1144,38.13333333,248.49,21.51,6.25,179.457,17,323,4373,1,1,1,Uxaa,PQza,1.0
ADF0159,1588,52.93333333,250.41,43.32,0.0,2981.0566,42,288,13143,1,2,2,PQza,PQza,0.0
ADF0160,122,4.066666667,251.4,0.0,10.0,632.2334,7,0,897,1,0,0,PQza,PQza,1.0
ADF0161,2082,69.4,253.5488,0.0,22.5,14139290.29,86,216,14545,2,0,0,PQza,PQza,1.0
ADF0162,924,30.8,254.144,43.58,16.25,832.0,42,990,7665,2,0,0,ToCall,PQza,1.0
ADF0163,343,11.43333333,254.3396,24.37,3.75,51044.1719,71,114,12691,1,0,0,Zintel,PQza,0.0
ADF0164,2429,80.96666667,254.78799999999998,54.97,63.75,267606.5508,20,1512,2382,1,2,2,Zintel,PQza,1.0
ADF0165,210,7.0,259.52,0.0,66.25,458411.914,10,0,1790,1,1,1,PQza,PQza,1.0
ADF0166,704,23.46666667,261.7312,7.17,3.75,130.0391,17,36,5884,2,2,2,PQza,PQza,1.0
ADF0167,168,5.6,263.95,60.83,6.25,539.415,47,1548,4927,2,3,3,PQza,PQza,1.0
ADF0168,591,19.7,267.1864,7.61,28.75,33536321.8,1,0,179,1,0,1,PQza,PQza,1.0
ADF0169,488,16.26666667,271.7008,101.96,60.0,1707.5136,22,36,5676,1,1,1,Uxaa,PQza,0.0
ADF0170,449,14.96666667,272.12,20.46,6.25,441698.3447,18,0,2646,1,1,1,PQza,PQza,1.0
ADF0171,137,4.566666667,276.21,0.0,56.25,4723.917,48,6648,11640,1,0,0,PQza,PQza,0.0
ADF0172,628,20.93333333,276.82,29.38,1.25,0.1211,42,4097,669,1,0,0,Uxaa,PQza,0.0
ADF0173,988,32.93333333,280.828,0.0,65.0,435771.8584,5,490,1338,2,1,1,PQza,PQza,1.0
ADF0174,165,5.5,282.89799999999997,16.74,36.25,135136.9355,23,36,4000,1,1,1,Zintel,PQza,1.0
ADF0175,107,3.566666667,284.126,11.37,30.0,1855812.4740000002,20,240,1591,1,1,3,PQza,PQza,1.0
ADF0176,175,5.833333333,286.5,0.0,66.25,16152499.42,4,0,657,1,1,1,PQza,PQza,0.0
ADF0177,127,4.233333333,290.3704,0.0,103.75,15494980.65,16,0,4424,1,1,1,PQza,PQza,0.0
ADF0178,435,14.5,293.318,3.5,36.25,11399.0039,17,2307,860,2,0,0,PQza,PQza,1.0
ADF0179,1867,62.23333333,294.344,20.32,7.5,689476.9512,19,3012,3286,1,2,2,PQza,PQza,1.0
ADF0180,2769,92.3,300.5156,71.19,0.0,1258.0498,35,318,12491,1,1,1,Weematel,PQza,1.0
ADF0181,1717,57.23333333,307.322,164.83,7.5,384.0,29,0,5940,1,1,1,PQza,PQza,1.0
ADF0182,1424,47.46666667,311.2624,21.47,0.0,67895.9561,17,1491,2290,1,2,2,PQza,PQza,0.0
ADF0183,1209,40.3,311.306,2.62,88.75,352675.4297,27,180,2806,2,0,0,Mango,PQza,0.0
ADF0184,1361,45.36666667,312.378,10.43,123.75,2405666.735,15,96,2511,1,1,1,Zintel,PQza,0.0
ADF0185,138,4.6,315.0044,0.0,201.25,1813914.3159999999,19,0,3587,2,1,1,PQza,PQza,0.0
ADF0186,204,6.8,316.04,18.48,30.0,10995622.09,11,24,2093,1,0,0,Mango,PQza,1.0
ADF0187,1574,52.46666667,325.4172,39.35,5.0,485815.1338,22,2376,2761,1,1,1,Weematel,PQza,0.0
ADF0188,209,6.966666667,326.38,38.6,30.0,11455.9649,68,1200,14008,1,1,1,Mango,PQza,1.0
ADF0189,1792,59.73333333,332.1136,82.68,77.5,51063.2988,23,3956,2280,3,2,2,PQza,PQza,1.0
ADF0190,2410,80.33333333,334.02,29.15,0.0,19462.2813,69,654,15829,1,1,3,Mango,PQza,1.0
ADF0191,122,4.066666667,344.1564,0.0,35.0,81718.4775,43,26316,1976,4,0,0,PQza,PQza,0.0
ADF0192,1956,65.2,345.8304,16.34,77.5,819375.4004,18,48,4626,1,2,2,Zintel,PQza,0.0
ADF0193,160,5.333333333,348.97,0.0,3.75,5739745.5479999995,7,12,938,1,1,1,Uxaa,PQza,1.0
ADF0194,1384,46.13333333,356.3684,43.72,76.25,30493.4921,33,4506,7166,1,1,0,Uxaa,PQza,1.0
ADF0195,419,13.96666667,360.962,35.9,80.0,513430.5283,19,605,2765,1,1,1,Zintel,PQza,1.0
ADF0196,545,18.16666667,361.586,16.05,16.25,394703.3926,47,1077,6107,1,0,0,PQza,PQza,0.0
ADF0197,347,11.56666667,361.978,15.8,61.25,3570486.309,10,840,1274,1,0,0,ToCall,PQza,0.0
ADF0198,1333,44.43333333,365.116,23.9,1.25,86.8809,89,9288,18764,1,3,1,Weematel,PQza,0.0
ADF0199,586,19.53333333,377.01800000000003,86.78,62.5,311391.1025,19,228,3329,1,1,1,PQza,PQza,0.0
ADF0200,413,13.76666667,381.338,13.7,148.75,163079.6973,5,502,370,1,1,1,Uxaa,PQza,0.0
ADF0201,803,26.76666667,382.11199999999997,7.0,121.25,872477.3057,14,131,2398,1,1,1,PQza,PQza,0.0
ADF0202,356,11.86666667,382.48,49.73,2.5,28582.9336,7,0,1541,1,0,0,PQza,PQza,1.0
ADF0203,346,11.53333333,382.6652,18.94,130.0,606623.7168,21,516,1981,1,0,0,PQza,PQza,0.0
ADF0204,1414,47.13333333,388.07199999999995,10.03,22.5,899.8955,34,2910,9416,1,1,1,ToCall,PQza,1.0
ADF0205,595,19.83333333,392.79,43.15,125.0,803877.7187,15,3258,1540,1,0,0,Uxaa,PQza,1.0
ADF0206,958,31.93333333,393.7128,23.9,0.0,64.0,84,2964,26938,1,2,2,0,PQza,0.0
ADF0207,120,4.0,398.346,0.0,72.5,5164384.34,25,12,4373,1,1,1,Uxaa,PQza,0.0
ADF0208,1121,37.36666667,399.98,44.77,0.0,1.3672,124,3842,1159,1,2,2,PQza,PQza,1.0
ADF0209,379,12.63333333,403.02,35.88,162.5,1058399.876,174,2500,8167,2,3,3,PQza,PQza,1.0
ADF0210,3459,115.3,404.86,36.65,78.75,103838.3018,76,4974,5901,1,0,0,PQza,PQza,0.0
ADF0211,944,31.46666667,411.5724,22.85,0.0,8644.9922,212,4894,8263,1,0,0,Zintel,PQza,0.0
ADF0212,119,3.9666666669999997,417.832,1.75,108.75,582044.8291,4,120,537,3,3,1,Uxaa,PQza,0.0
ADF0213,1316,43.86666667,418.5664,162.78,2.5,54.8457,50,1494,12441,1,0,0,Zintel,PQza,0.0
ADF0214,118,3.933333333,419.2508,28.58,81.25,77806.3388,37,0,8024,1,2,2,ToCall,PQza,0.0
ADF0215,2775,92.5,430.2,27.87,10.0,5289.7324,88,4284,18893,3,1,1,PQza,PQza,1.0
ADF0216,172,5.733333332999999,442.2904,0.01,248.75,4173532.369,9,0,1375,1,3,1,Mango,PQza,1.0
ADF0217,544,18.13333333,447.5504,25.57,188.75,264788.0518,6,114,765,1,1,1,PQza,PQza,0.0
ADF0218,101,3.366666667,452.31,40.25,51.25,76293.3242,13,3060,1603,2,0,1,Zintel,PQza,0.0
ADF0219,330,11.0,454.3128,47.14,53.75,212.2656,11,0,4144,1,2,2,Zintel,PQza,1.0
ADF0220,2347,78.23333333,465.7484,33.26,50.0,633833.6787,32,7129,3289,1,1,1,Uxaa,PQza,1.0
ADF0221,3978,132.6,466.4056,11.31,126.25,773825.3633,10,0,1862,1,1,1,PQza,PQza,1.0
ADF0222,1103,36.76666667,468.98,61.33,51.25,453745.4395,14,131,2327,4,1,1,PQza,PQza,0.0
ADF0223,228,7.6,473.6044,12.78,0.0,529965.1299,106,216,1630,1,0,0,PQza,PQza,0.0
ADF0224,1758,58.6,478.566,14.31,85.0,514032.2305,51,1056,5955,1,0,0,PQza,PQza,0.0
ADF0225,224,7.466666667,482.01800000000003,0.0,236.25,14001033.68,7,0,1253,1,1,1,PQza,PQza,1.0
ADF0226,145,4.833333333,488.158,5.25,101.25,32016301.44,17,0,3033,1,1,1,Weematel,PQza,0.0
ADF0227,2233,74.43333333,492.6008,23.09,15.0,1464487.2519999999,41,3286,12282,1,1,1,Weematel,PQza,1.0
ADF0228,145,4.833333333,496.666,45.52,232.5,194053.3457,11,828,895,1,0,0,Uxaa,PQza,0.0
ADF0229,469,15.63333333,497.63199999999995,43.03,3.75,2.6367,123,11724,17042,1,0,0,ToCall,PQza,1.0
ADF0230,1064,35.46666667,503.31,23.19,12.5,587881.6592,25,1024,4276,1,2,2,PQza,PQza,1.0
ADF0231,3457,115.23333329999998,515.7852,20.03,133.75,484236.749,11,24,1685,1,2,2,PQza,PQza,1.0
ADF0232,212,7.066666667000001,520.498,73.08,30.0,360623.5371,142,840,16232,1,1,1,Weematel,PQza,1.0
ADF0233,130,4.333333333,527.61,9.3,3.75,25.6025,39,8844,32959,1,3,3,ToCall,PQza,0.0
ADF0234,1023,34.1,528.6964,47.16,0.0,805.084,96,11309,23293,3,0,0,Weematel,PQza,0.0
ADF0235,106,3.5333333330000003,529.33,45.5,53.75,55103.333,109,3756,17652,1,3,3,PQza,PQza,0.0
ADF0236,595,19.83333333,538.8580000000001,0.0,70.0,14902271.69,6,24,753,2,1,1,Weematel,PQza,0.0
ADF0237,507,16.9,539.288,16.73,0.0,42944.3076,212,3705,920,1,2,2,PQza,PQza,1.0
ADF0238,4855,161.83333330000002,550.96,7.0,0.0,29927.999,233,1284,6281,1,0,0,Uxaa,PQza,0.0
ADF0239,680,22.66666667,551.2116,60.48,22.5,264810.6015,52,96,10451,1,2,2,Uxaa,PQza,1.0
ADF0240,3517,117.23333329999998,552.754,3.24,22.32,545011.997,10,179,9563,2,0,0,PQza,PQza,1.0
ADF0241,445,14.83333333,553.47,33.85,32.5,115799.9854,375,822,892,1,1,1,Zintel,PQza,1.0
ADF0242,884,29.46666667,570.3384,38.24,2.5,79.0713,154,4365,27494,1,0,0,Zintel,PQza,1.0
ADF0243,710,23.66666667,576.2244,19.18,22.0,135342.2959,227,1092,14839,1,0,0,PQza,PQza,0.0
ADF0244,1345,44.83333333,578.13,32.33,116.75,245928.7442,37,1092,4889,1,1,3,Mango,PQza,1.0
ADF0245,1675,55.83333333,579.7812,25.16,17.5,274330.2383,48,6753,6346,1,1,1,ToCall,PQza,1.0
ADF0246,4121,137.3666667,584.6,0.0,65.0,353999.3867,69,6630,23142,1,1,1,Uxaa,PQza,0.0
ADF0247,411,13.7,585.64,24.5,47.5,11288172.96,45,1566,3676,1,1,1,PQza,PQza,1.0
ADF0248,1196,39.86666667,585.89,34.59,218.75,472293.376,25,1830,2650,2,0,0,Zintel,PQza,0.0
ADF0249,906,30.2,589.12,64.09,16.25,924490.5791,164,1167,3501,1,1,1,Mango,PQza,0.0
ADF0250,1754,58.46666667,590.0068,28.51,17.5,645.0088,67,3980,27917,1,0,0,Zintel,PQza,0.0
ADF0251,224,7.466666667,597.648,11.95,32.5,715187.5059,24,1434,2387,1,3,3,PQza,PQza,1.0
ADF0252,224,7.466666667,599.6892,38.84,8.75,693812.3477,299,4668,4619,5,1,1,Weematel,PQza,1.0
ADF0253,1160,38.66666667,603.59,17.21,23.75,2040654.4630000002,64,144,20668,1,1,1,ToCall,PQza,0.0
ADF0562,3661,122.03333329999998,1285.72,36.23,61.25,1709812.9730000002,55,2101,5555,1,2,2,PQza,ToCall,1.0
ADF0563,2890,96.33333333,1288.52,5.98,115.0,880049.6084,69,622,1995,1,1,1,0,ToCall,1.0
ADF0564,248,8.266666667,1386.9816,75.24,33.75,421687.4766,238,4152,57299,1,0,0,Mango,ToCall,0.0
ADF0565,1589,52.96666667,2283.97,149.5,72.5,12941401.86,232,3370,179,2,1,1,Zintel,ToCall,0.0
ADF0566,1513,50.43333333,2527.9872,22.18,256.25,3280593.825,222,18646,71141,3,1,1,PQza,ToCall,1.0
ADF0567,1879,62.63333333,225.9328,25.65,1.25,23.2354,40,12,13947,1,3,3,PQza,ToCall,1.0
ADF0568,221,7.3666666670000005,230.00799999999998,40.35,1.25,47568.4531,35,228,7902,1,1,1,Weematel,ToCall,1.0
ADF0569,2413,80.43333333,275.13,20.87,2.5,123.3301,51,972,9991,1,1,1,Mango,ToCall,0.0
ADF0570,3504,116.8,299.57,5.38,27.5,444258.4561,27,954,7231,1,0,0,ToCall,ToCall,1.0
ADF0571,115,3.833333333,357.0,13.53,0.0,36947.2373,68,4644,1747,2,0,1,Uxaa,ToCall,0.0
ADF0572,2236,74.53333333,380.7112,15.91,0.0,30.541,61,1482,18465,1,1,1,ToCall,ToCall,0.0
ADF0573,1752,58.4,393.5116,47.66,3.75,6.5352,44,502,17006,1,3,3,Mango,ToCall,1.0
ADF0574,1370,45.66666667,394.6204,29.28,0.0,1853.6602,101,837,25087,1,0,0,Uxaa,ToCall,0.0
ADF0575,171,5.7,403.45,48.12,127.5,1913185.035,24,240,3603,1,3,3,ToCall,ToCall,1.0
ADF0576,504,16.8,442.8664,17.84,156.25,114293.58099999999,40,162,8172,1,3,3,ToCall,ToCall,0.0
ADF0577,324,10.8,457.972,20.24,18.75,767.2188,72,6394,24345,1,1,1,PQza,ToCall,1.0
ADF0578,197,6.566666667000001,488.28,110.27,11.25,42615.9326,35,720,2652,1,1,1,Uxaa,ToCall,0.0
ADF0579,1452,48.4,515.2484,11.14,26.25,2381.3155,69,0,19300,1,0,0,ToCall,ToCall,0.0
ADF0644,636,21.2,1281.6892,46.45,53.75,26519180.36,29,3495,1611,1,1,1,Uxaa,Uxaa,1.0
ADF0645,4870,162.33333330000002,1283.8368,9.62,27.5,1469047.9,468,2808,13915,5,1,1,Zintel,Uxaa,0.0
ADF0646,2009,66.96666667,1293.47,18.44,3.75,62.6748,212,49932,30048,1,1,1,Weematel,Uxaa,0.0
ADF0647,139,4.633333333,1294.1368,446.55,65.0,457645.7227,255,12216,8148,2,0,0,Mango,Uxaa,0.0
ADF0648,173,5.766666667000001,1300.67,50.23,3.75,1388410.418,283,0,13031,1,1,1,PQza,Uxaa,0.0
ADF0649,2499,83.3,1303.5856,28.0,78.75,3494.2705,240,52215,14089,1,0,0,Zintel,Uxaa,0.0
ADF0650,3860,128.6666667,1304.442,93.01,0.0,1149525.693,162,1004,18283,1,1,1,Uxaa,Uxaa,1.0
ADF0651,2273,75.76666667,1305.6124,0.0,82.5,6197539.493,132,954,371,2,1,1,Mango,Uxaa,1.0
ADF0652,2691,89.7,1310.2728,36.75,0.0,4909702.271000001,364,8111,65351,2,1,1,0,Uxaa,1.0
ADF0653,2741,91.36666667,1310.8968,21.86,1.25,54.9502,843,11124,18160,8,0,0,Weematel,Uxaa,1.0
ADF0654,2585,86.16666667,1313.1,0.0,0.0,3340274.291,456,0,0,1,1,1,Weematel,Uxaa,0.0
ADF0655,2707,90.23333333,1313.1,0.0,0.0,3367450.12,1861,0,0,2,2,2,Uxaa,Uxaa,0.0
ADF0656,4192,139.7333333,1313.1,0.0,0.0,1895829.15,443,0,0,1,1,1,PQza,Uxaa,0.0
ADF0657,4222,140.7333333,1313.1,0.0,0.0,2174469.22,293,0,0,6,1,1,ToCall,Uxaa,0.0
ADF0658,3482,116.06666670000001,1313.1,0.0,0.0,10409369.54,562,0,0,4,1,1,Uxaa,Uxaa,0.0
ADF0659,2139,71.3,1319.4,1.75,91.25,3223359.4469999997,120,36453,3872,1,1,1,PQza,Uxaa,1.0
ADF0660,5363,178.7666667,1321.3504,0.0,0.0,637.3896,1514,239,0,1,2,2,PQza,Uxaa,0.0
ADF0661,959,31.96666667,1324.2884,1.8,48.75,132049.9375,217,21527,1960,3,1,1,PQza,Uxaa,1.0
ADF0662,507,16.9,1325.15,53.18,167.86,150254.2959,121,8981,54807,1,1,1,PQza,Uxaa,0.0
ADF0663,3877,129.2333333,1332.886,9.48,3.75,346760.1201,273,6694,47457,3,0,1,ToCall,Uxaa,0.0
ADF0664,1796,59.86666667,1334.0136,37.66,100.0,23845302.0,217,36228,23613,1,2,2,ToCall,Uxaa,1.0
ADF0665,485,16.16666667,1336.6664,4.32,93.62,2484466.32,464,22188,6034,1,3,3,PQza,Uxaa,1.0
ADF0666,1777,59.23333333,1337.31,0.6,0.0,2924192.745,866,0,39793,1,1,1,Weematel,Uxaa,0.0
ADF0667,4233,141.1,1340.2544,78.03,72.5,11694.8086,186,29388,59376,1,1,1,Weematel,Uxaa,1.0
ADF0668,2434,81.13333333,1342.34,0.0,0.0,64281.1152,388,0,179,2,2,2,Mango,Uxaa,1.0
